     1.00   -52.04    14.90     0.58   -86.91    19.27     0.51
     2.00   -38.69    18.38     0.52   -65.28    19.43     0.51
     3.00   -11.48    16.53     0.55   -43.09    11.53     0.70
     4.00   -20.16    13.09     0.63   -53.79     8.07     1.01
     5.00    -3.67     9.03     0.89   -12.96    13.27     0.63
     6.00    10.65     7.04     1.21   -10.49     7.41     1.13
     7.00    33.93     5.46     1.74     2.17     7.84     1.05
     8.00    24.13     6.49     1.35     5.15    12.66     0.65
     9.00    54.32    10.53     0.76    40.97     9.81     0.82
    10.00    36.99     6.46     1.36    60.34    17.44     0.53
    11.00    64.57    17.04     0.54    58.89     8.08     1.01
    12.00    72.00    14.98     0.58    73.50    12.27     0.67
    13.00    80.46     5.84     1.57   109.31    10.89     0.74
    14.00    77.21     9.34     0.86   124.13    17.20     0.54
    15.00   113.87    16.16     0.55   138.45     9.64     0.83
    16.00    98.57     8.15     1.00   125.59    14.16     0.60
    17.00   112.50    10.60     0.76   156.87    14.87     0.58
    18.00   127.09    17.75     0.53   181.68     8.92     0.90
    19.00   142.32    16.61     0.54   187.81    16.00     0.56
    20.00   140.11    16.26     0.55   195.40     5.49     1.73
